State,Year,Crop,Area,Production
Andhra Pradesh,2007,Onion,1000,18000
Andhra Pradesh,2007,Rice,283000,976000
Andhra Pradesh,2007,Jowar,3000,15000
Andhra Pradesh,2007,Rice,24000,85000
Andhra Pradesh,2008,Onion,639,10738
Andhra Pradesh,2008,Rice,281491,959321
Andhra Pradesh,2008,Jowar,5108,35633
Andhra Pradesh,2008,Onion,84,1682
Andhra Pradesh,2008,Rice,51358,187662
Andhra Pradesh,2009,Bajra,315,557
Andhra Pradesh,2009,Jowar,180,212
Andhra Pradesh,2009,Onion,723,11708
Andhra Pradesh,2009,Rice,190526,683226
Andhra Pradesh,2009,Jowar,3449,20422
Andhra Pradesh,2009,Onion,40,1068
Andhra Pradesh,2009,Rice,112342,383423
Andhra Pradesh,2010,Bajra,1065,1984
Andhra Pradesh,2010,Jowar,61,88
Andhra Pradesh,2010,Onion,619,12293
Andhra Pradesh,2010,Rice,271072,649760
Andhra Pradesh,2010,Bajra,118,220
Andhra Pradesh,2010,Jowar,3940,23995
Andhra Pradesh,2010,Onion,268,1323
Andhra Pradesh,2010,Rice,58393,201806
Andhra Pradesh,2010,Wheat,43,56
Andhra Pradesh,2011,Bajra,12,21
Andhra Pradesh,2011,Onion,959,13821
Andhra Pradesh,2011,Rice,281790,1080921
Andhra Pradesh,2011,Jowar,21061,125945
Andhra Pradesh,2011,Rice,11012,39060
Andhra Pradesh,2012,Bajra,1882,3668
Andhra Pradesh,2012,Jowar,295,782
Andhra Pradesh,2012,Onion,679,12963
Andhra Pradesh,2012,Rice,174699,607778
Andhra Pradesh,2012,Tomato,783,27537
Andhra Pradesh,2012,Bajra,24,47
Andhra Pradesh,2012,Jowar,27515,149544
Andhra Pradesh,2012,Onion,11,101
Andhra Pradesh,2012,Rice,8362,29903
Andhra Pradesh,2012,Tomato,788,7674
Andhra Pradesh,2013,Bajra,3323,5812
Andhra Pradesh,2013,Jowar,205,358
Andhra Pradesh,2013,Onion,630,11864
Andhra Pradesh,2013,Rice,280060,912716
Andhra Pradesh,2013,Tomato,688,18292
Andhra Pradesh,2013,Jowar,13556,82027
Andhra Pradesh,2013,Onion,19,352
Andhra Pradesh,2013,Rice,48107,183288
Andhra Pradesh,2013,Tomato,682,7710
Andhra Pradesh,2014,Bajra,689,758
Andhra Pradesh,2014,Jowar,32,48
Andhra Pradesh,2014,Onion,408,7491
Andhra Pradesh,2014,Rice,255607,1000190
Andhra Pradesh,2014,Tomato,462,6642
Andhra Pradesh,2014,Bajra,62,68
Andhra Pradesh,2014,Jowar,21907,150983
Andhra Pradesh,2014,Onion,40,707
Andhra Pradesh,2014,Rice,29695,111742
Andhra Pradesh,2014,Tomato,524,7100
Andhra Pradesh,2014,Rice,285302,1111932
Andhra Pradesh,1997,Bajra,2000,2400
Andhra Pradesh,1997,Jowar,7300,8100
Andhra Pradesh,1997,Rice,47700,77500
Andhra Pradesh,1997,Jowar,3000,2600
